ville;cp;longitude;latitude;departement
FLEURY;50800;-1.2757537;48.8476297;50
FLOTTEMANVILLE;50700;-1.4502284;49.4754959;50
FLOTTEMANVILLE HAGUE;50690;-1.7221696;49.6217933;50
FOLLIGNY;50320;-1.4109685;48.823808;50
FONTENAY;50140;-1.0297955;48.6287303;50
FONTENAY SUR MER;50310;-1.3133089;49.4892798;50
FOUCARVILLE;50480;-1.2570346;49.4437605;50
FOURNEAUX;50420;-1.0354211;48.9646556;50
LE FRESNE PORET;50850;-0.8299933;48.7104263;50
FRESVILLE;50310;-1.3552853;49.4393251;50
GATHEMO;50150;-0.9757389;48.7656535;50
GATTEVILLE LE PHARE;50760;-1.2831194;49.6864848;50
GAVRAY;50450;-1.3505305;48.9097791;50
GEFFOSSES;50560;-1.5600041;49.1303669;50
GENETS;50530;-1.4788888;48.6850972;50
GER;50850;-0.7882297;48.6823114;50
GERVILLE LA FORET;50250;-1.5042539;49.2519472;50
GIEVILLE;50160;-0.9773079;49.0146594;50
LA GLACERIE;50470;-1.5727206;49.6072153;50
GLATIGNY;50250;-1.6299049;49.2768289;50
LA GODEFROY;50300;-1.2912016;48.6890512;50
LA GOHANNIERE;50300;-1.2549188;48.7058481;50
GOLLEVILLE;50390;-1.5162243;49.4357895;50
GONFREVILLE;50190;-1.3942937;49.2396098;50
GONNEVILLE;50330;-1.4660035;49.6381093;50
GORGES;50190;-1.4069518;49.2565385;50
GOUBERVILLE;50330;-1.3219885;49.6864054;50
GOURBESVILLE;50480;-1.4107467;49.4212521;50
GOURFALEUR;50750;-1.1120341;49.0814826;50
GOUVETS;50420;-1.0957138;48.9324221;50
GOUVILLE SUR MER;50560;-1.5814582;49.0973075;50
GRAIGNES;50620;-1.2;49.25;50
LE GRAND CELLAND;50370;-1.1861628;48.6811984;50
GRANVILLE;50400;-1.5979307;48.8375168;50
GRATOT;50200;-1.4895989;49.0673662;50
GREVILLE HAGUE;50440;-1.8011095;49.6746446;50
GRIMESNIL;50450;-1.3508598;48.9538785;50
GROSVILLE;50340;-1.7426357;49.5090067;50
GUEHEBERT;50210;-1.3732963;48.9699675;50
GUILBERVILLE;50160;-0.9456743;48.9880297;50
LE GUISLAIN;50410;-1.2279203;48.9720112;50
LE HAM;50310;-1.4165898;49.4506346;50
HAMBYE;50450;-1.2649498;48.9471243;50
HAMELIN;50730;-1.2089757;48.5437372;50
HARDINVAST;50690;-1.6481909;49.5781856;50
HAUTEVILLE SUR MER;50590;-1.5416385;48.977318;50
HAUTTEVILLE LA GUICHARD;50570;-1.2460256;49.1356622;50
HAUTTEVILLE BOCAGE;50390;-1.4667332;49.4263944;50
LA HAYE BELLEFOND;50410;-1.1836038;48.983193;50
LA HAYE D ECTOT;50270;-1.7318644;49.3897444;50
LA HAYE DU PUITS;50250;-1.5444616;49.2905383;50
LA HAYE PESNEL;50320;-1.3971502;48.7946783;50
